questionid,original,v1,v2,v3,v4,v5
Q1,"Literature on Cardiac amyloidosis.  Please let me know where I can get literature on Cardiac amyloidosis.  My uncle died yesterday from this disorder.  Since this is such a rare disorder, and to honor his memory, I would like to distribute literature at his funeral service.  I am a retired NIH employee, so I am familiar with the campus in case you have literature at NIH that I can come and pick up.  Thank you ","I'm looking for literature on Cardiac amyloidosis, can you help me find some?","Where can I access literature on Cardiac amyloidosis, a rare disorder that recently claimed the life of my uncle?","As a retired NIH employee, I'm searching for literature on Cardiac amyloidosis to distribute at my uncle's funeral service, can you assist me?","In memory of my uncle who passed away from Cardiac amyloidosis, I'd like to share literature on this rare disorder at his funeral - can you point me in the right direction?","I'm trying to find literature on Cardiac amyloidosis to honor my uncle who recently passed away from this condition - are there any resources available, perhaps at NIH?"
Q2,"Migraine seems to be a spectrum of conditions rather than only one easily diagnosed affliction.  Many innovative migraine treatments are now in use, but it seems that each treatment only addresses a narrow set of conditions; for example, my daughter has tried many different treatment options (QEEG, HEG, TMS, topamax, ...) without success.  Has any research been done to characterize which treatment types are effective against which migraine types?",Are there any studies that have investigated the effectiveness of different migraine treatments for specific migraine types?,What research has been conducted to identify which migraine treatments are most effective for particular migraine conditions?,Have researchers attempted to categorize migraine treatments by their efficacy in addressing specific types of migraines?,Is there any scientific evidence that links specific migraine treatments to their effectiveness in treating certain migraine subtypes?,Have any studies been published that examine the correlation between migraine treatment types and their success rates in alleviating specific migraine conditions?
Q3,DO I USE PYRIDOXINE TABLETS EVEN IF IM PREGNANT?,Should I take pyridoxine tablets during pregnancy?,Are pyridoxine tablets safe to use when pregnant?,Can I continue using pyridoxine tablets while pregnant?,Is it okay to use pyridoxine tablets when I'm pregnant?,Do pyridoxine tablets have any restrictions for pregnant women?
Q4,i have lymphoma what causes cramp after chemo treatment,What triggers cramping after chemotherapy treatment in lymphoma patients?,Are muscle cramps a common side effect of chemotherapy for lymphoma?,Why do I experience cramping after undergoing chemotherapy for lymphoma?,What is the reason behind post-chemotherapy cramping in individuals with lymphoma?,"Can chemotherapy treatment for lymphoma cause muscle cramps, and if so, why?"
Q5,I wonder of new research and testing on macular degeneration and the opportunity to be part of this process.,Are there any opportunities to participate in new research and testing for macular degeneration?,"What are the latest developments in macular degeneration research and testing, and can I be involved?",Can I be a part of the new research and testing being conducted on macular degeneration?,Are there any chances to contribute to the research and testing of macular degeneration?,What opportunities exist for individuals to participate in macular degeneration research and testing?
Q6,Can you please send me as much information as possible on &quot;hypothyroidism&quot;. I was recently diagnosed with the disease and I am struggling to figure out what it is and how I got it. My name and address is: [NAME] [LOCATION] [CONTACT] Thank you in advance for your help!!!,I've recently been diagnosed with hypothyroidism and I'm struggling to understand what it is and how I contracted it - can you please provide me with as much information as possible?,"What information can you provide about hypothyroidism, as I've recently been diagnosed and I'm having trouble grasping the basics of the disease?",I've been diagnosed with hypothyroidism and I'm having trouble understanding the condition - can you send me detailed information on what it is and how it's acquired?,"I've recently received a diagnosis of hypothyroidism, but I'm unclear on the specifics - can you please send me as much information as you can on the disease?","Having recently been diagnosed with hypothyroidism, I'm seeking as much information as possible on the condition - can you please provide me with details on what it is and how it's caused?"
Q7,"A street dog bit me five years ago, I take all the vaccine from very next day from biting, now on that spot where bite there was etching problem since few day, please guide me is there any problem will create in future if create is there any treatment for rabies.","I was bitten by a street dog five years ago, and I received all the necessary vaccinations immediately after the incident; however, I've been experiencing etching problems on the bite spot for a few days now - should I be concerned about any potential future complications, and are there any treatments available for rabies?","Five years ago, I was bitten by a stray dog, and I got vaccinated right away; lately, I've noticed etching issues on the affected area - could this lead to any future problems, and what are the treatment options for rabies?","I got bitten by a dog on the street five years back, and I took all the required vaccine doses starting from the next day; now, I'm experiencing etching problems on the bite site - is there a risk of future complications, and are there any treatments available to combat rabies?","After being bitten by a street dog five years ago, I received all the necessary vaccinations from the very next day; currently, I'm dealing with etching issues on the affected area - should I worry about potential future problems, and what are the treatment options for rabies?","Five years ago, a street dog bit me, and I got vaccinated immediately; recently, I've developed etching problems on the bite site - are there any potential future risks, and what treatments are available for rabies?"
Q8,"Dear Sir/Madam  I'm [NAME] from [LOCATION], I'm 35 years old , I'd like to ask you a Medical Question as I've got an optic nerve atrophy in my eye and i lost my vision since i was 8 years old , Now I've got one eye just ,  So please is there treatment for optic nerve atrophy !  Please see the attachment which is a Medical report from [LOCATION],  Best Wishes  [NAME] ","I'm [NAME] from [LOCATION], 35 years old, and I've been living with optic nerve atrophy in one eye since I was 8 years old, resulting in vision loss; is there a treatment available for this condition?","I'm reaching out from [LOCATION] as a 35-year-old individual who has been dealing with optic nerve atrophy in my eye since childhood, leading to vision loss; can you inform me about potential treatments for this condition?","As a 35-year-old from [LOCATION] who has been affected by optic nerve atrophy since the age of 8, resulting in vision loss in one eye, I'm seeking information on possible treatments for this condition; can you help?","I'm [NAME], a 35-year-old from [LOCATION] who has been living with optic nerve atrophy since I was 8, which has caused me to lose my vision; are there any treatments available for optic nerve atrophy that could help me?","I'm writing to inquire about potential treatments for optic nerve atrophy, a condition I've been living with since I was 8 years old, which has resulted in vision loss in one eye; I've attached a medical report from [LOCATION] for your reference."
Q9,When and how do you know when you have congenital night blindness?,"How do you determine if you have congenital night blindness, and at what point do you realize it?","At what age or stage do you typically discover you have congenital night blindness, and what are the signs?","What are the indications that you have congenital night blindness, and when do they usually become apparent?","How can you identify congenital night blindness, and what is the typical timeline for diagnosis?","What are the symptoms and signs that indicate congenital night blindness, and when do they usually manifest?"
Q10,"Would appreciate any good info on Lewy Body Dementia, we need to get people aware of this dreadful disease, all they talk about is alzheimers.  Thank you ","Can you provide some information about Lewy Body Dementia, as it's often overshadowed by Alzheimer's?","What do you know about Lewy Body Dementia, a disease that deserves more attention than it gets, especially compared to Alzheimer's?","Is there a way to raise awareness about Lewy Body Dementia, a condition that is often eclipsed by discussions of Alzheimer's?","Do you have any insights or resources about Lewy Body Dementia, a disease that seems to be neglected in favor of Alzheimer's?","How can we educate people about Lewy Body Dementia, a serious condition that is frequently overshadowed by the focus on Alzheimer's?"
