questionid,original,v1,v2,v3,v4,v5
Q1,"Literature on Cardiac amyloidosis.  Please let me know where I can get literature on Cardiac amyloidosis.  My uncle died yesterday from this disorder.  Since this is such a rare disorder, and to honor his memory, I would like to distribute literature at his funeral service.  I am a retired NIH employee, so I am familiar with the campus in case you have literature at NIH that I can come and pick up.  Thank you ","I'm looking for literature on Cardiac amyloidosis, can you help me find some resources?","Where can I access literature and information on Cardiac amyloidosis, a rare disorder that recently affected my family?","I'm seeking literature on Cardiac amyloidosis to distribute at a funeral service, can you provide me with some sources or recommendations?","As a retired NIH employee, I'm familiar with the campus and would like to know if there are any literature or resources on Cardiac amyloidosis available for pickup?","In memory of my uncle who passed away from Cardiac amyloidosis, I'd like to distribute literature on the disorder at his funeral service - can you point me in the right direction?"
Q2,"Migraine seems to be a spectrum of conditions rather than only one easily diagnosed affliction.  Many innovative migraine treatments are now in use, but it seems that each treatment only addresses a narrow set of conditions; for example, my daughter has tried many different treatment options (QEEG, HEG, TMS, topamax, ...) without success.  Has any research been done to characterize which treatment types are effective against which migraine types?",Are there any studies that have investigated which migraine treatment options are most effective for specific types of migraines?,What research has been conducted to identify the most effective treatment approaches for different migraine subtypes?,Have researchers explored the relationship between various migraine treatment types and their efficacy for specific migraine conditions?,Is there any scientific evidence that links particular migraine treatments to their effectiveness for distinct migraine types or subtypes?,Have any studies been undertaken to determine which migraine treatment options are most suitable for which specific migraine conditions or spectra?
Q3,DO I USE PYRIDOXINE TABLETS EVEN IF IM PREGNANT?,Should I take pyridoxine tablets during pregnancy?,Are pyridoxine tablets safe to use when pregnant?,Can I continue taking pyridoxine tablets while pregnant?,Is it okay to use pyridoxine tablets when I'm pregnant?,Do pyridoxine tablets have any restrictions for pregnant women?
Q4,i have lymphoma what causes cramp after chemo treatment,What triggers cramps in lymphoma patients after chemotherapy treatment?,"Are cramps a common side effect of chemotherapy for lymphoma, and if so, what causes them?",I have lymphoma and I'm experiencing cramps after chemo - what's behind this symptom?,What are the causes of post-chemotherapy cramps in individuals with lymphoma?,"Can chemotherapy for lymphoma cause muscle cramps, and if so, what are the underlying reasons?"
Q5,I wonder of new research and testing on macular degeneration and the opportunity to be part of this process.,Are there any new developments in macular degeneration research and testing that I could be a part of?,What opportunities exist for participating in cutting-edge macular degeneration research and testing?,Can I get involved in the latest research and testing for macular degeneration?,Are there any chances for me to take part in innovative macular degeneration research and testing?,How can I contribute to or participate in the newest macular degeneration research and testing efforts?
Q6,Can you please send me as much information as possible on &quot;hypothyroidism&quot;. I was recently diagnosed with the disease and I am struggling to figure out what it is and how I got it. My name and address is: [NAME] [LOCATION] [CONTACT] Thank you in advance for your help!!!,I've been diagnosed with hypothyroidism and I'm having trouble understanding what it is and how I contracted it - can you provide me with detailed information about this condition?,"I recently received a diagnosis of hypothyroidism, but I'm unclear on the specifics of the disease and its causes - could you send me comprehensive information about hypothyroidism?","Having been diagnosed with hypothyroidism, I'm struggling to grasp the basics of the condition and how I developed it - would you be able to provide me with extensive information on hypothyroidism?","I've been told I have hypothyroidism, but I don't understand what that means or how I got it - can you please send me as much information as you can about this disease?","Following a recent diagnosis of hypothyroidism, I'm seeking detailed information about the condition, including its causes and effects - could you provide me with a comprehensive overview of hypothyroidism?"
Q7,"A street dog bit me five years ago, I take all the vaccine from very next day from biting, now on that spot where bite there was etching problem since few day, please guide me is there any problem will create in future if create is there any treatment for rabies.","I was bitten by a stray dog five years ago and received all the necessary vaccinations starting from the next day; recently, I've been experiencing etching issues on the same spot where I was bitten - should I be concerned about potential future problems, and if so, are there any treatments available for rabies?","Five years have passed since a street dog bit me, and I completed the full vaccine regimen from the very next day; however, I've been noticing etching problems on the bite area lately - could this lead to future complications, and are there any treatments for rabies if it does?","I was bitten by a stray dog five years ago and received all the required vaccinations immediately; lately, I've been experiencing etching issues on the exact spot where the dog bit me - is there a risk of future problems, and if so, what treatments are available for rabies?","It's been five years since I was bitten by a street dog, and I took all the necessary vaccinations from the next day onwards; recently, I've developed etching issues on the bite area - should I be worried about potential future complications, and are there any treatments available if rabies develops?","Five years ago, I was bitten by a stray dog and received the full vaccine course starting from the next day; now, I'm experiencing etching problems on the same spot where I was bitten - is there a risk of future problems, and if so, what are the treatment options for rabies?"
Q8,"Dear Sir/Madam  I'm [NAME] from [LOCATION], I'm 35 years old , I'd like to ask you a Medical Question as I've got an optic nerve atrophy in my eye and i lost my vision since i was 8 years old , Now I've got one eye just ,  So please is there treatment for optic nerve atrophy !  Please see the attachment which is a Medical report from [LOCATION],  Best Wishes  [NAME] ","I'm [NAME] from [LOCATION], 35 years old, and I'm reaching out with a medical inquiry regarding my optic nerve atrophy, which has caused vision loss in one eye since I was 8 years old; I'm now left with only one functional eye - is there a treatment available for this condition?","I'm writing to seek medical advice as I've been living with optic nerve atrophy in one eye since childhood, resulting in vision loss at the age of 8; I'm now 35 and reliant on my other eye - can you inform me about potential treatments for optic nerve atrophy?","As someone who has been dealing with optic nerve atrophy since the age of 8, resulting in the loss of vision in one eye, I'm eager to explore possible treatment options - I've attached a medical report from [LOCATION] for your reference; can you provide guidance on addressing this condition?","I'm [NAME], a 35-year-old from [LOCATION], and I'm seeking medical guidance regarding my optic nerve atrophy, which has left me with vision loss in one eye since childhood; I've included a medical report from [LOCATION] - are there any treatments available to address this condition?","I'm reaching out for medical advice as I've been living with optic nerve atrophy, which has caused me to lose vision in one eye since I was 8 years old; I'm now 35 and reliant on my other eye - can you review the attached medical report from [LOCATION] and inform me about potential treatments for optic nerve atrophy?"
Q9,When and how do you know when you have congenital night blindness?,At what point and in what way do you determine if you have congenital night blindness?,"How do you diagnose congenital night blindness, and at what stage?","What are the signs that indicate you have congenital night blindness, and when do they appear?","Can you identify congenital night blindness, and if so, how and when?","What are the criteria for determining congenital night blindness, and when do they become apparent?"
Q10,"Would appreciate any good info on Lewy Body Dementia, we need to get people aware of this dreadful disease, all they talk about is alzheimers.  Thank you ","Can you provide information on Lewy Body Dementia to raise awareness about this underrecognized condition, which is often overshadowed by Alzheimer's?","What resources are available to educate people about Lewy Body Dementia, a disease that deserves more attention than it currently receives, especially compared to Alzheimer's?","How can we increase awareness about Lewy Body Dementia, a serious condition that is frequently overlooked in favor of Alzheimer's disease?","Are there any reliable sources of information on Lewy Body Dementia, a disease that is often misunderstood and overshadowed by the focus on Alzheimer's?","What are some ways to promote awareness and education about Lewy Body Dementia, a condition that is frequently underemphasized in comparison to Alzheimer's disease?"
Q11,Gene changes or chromosomal changes of MSUD? What is the technical and simple language of MSUD? Are there any treatments for MSUD?,What are the genetic and chromosomal alterations associated with MSUD? Can you explain MSUD in technical and simple terms? Are there any available treatments for MSUD?,How do genetic mutations and chromosomal abnormalities contribute to MSUD? What are the technical and simple definitions of MSUD? What treatment options exist for MSUD?,What genetic and chromosomal changes occur in individuals with MSUD? Can you provide both technical and simple explanations of MSUD? Are there any effective treatments for MSUD?,What are the genetic and chromosomal characteristics of MSUD? How would you describe MSUD in both technical and simple language? What are the current treatment options for MSUD?,What genetic mutations and chromosomal changes are linked to MSUD? Can you define MSUD in both technical and simple terms? Are there any approved treatments for MSUD?
Q12,"I need to know if CDH can be passed down to future generations.  I just learned that this condition most likely caused the death of my first child back in 1971.  I was then told it was merely a fluke.  I had NO trauma during the full-term pregnancy, and I and my then husband were in very good health.  Now my son (from a different husband) and his wife are due to have fraternal twins in [DATE] 2015.  Does the term 'congenital' mean that it could be passed down to another generation?  I do not want to alarm my son and his wife.  I just would like to inform whatever pediatrician is caring for these babies as to my experience.  Unfortunately my son and I are estranged.  And I do not know who is their pediatrician.  My child's CDH was very severe.  I know there are far less severe cases that can go undetected &/or undiagnosed unless there is a reason to suspect such a condition.  Please respond to my concerns.","Can CDH be inherited by future generations, and what does the term 'congenital' imply about its heritability?",I'm concerned about the risk of CDH being passed down to my grandchildren; does the condition's congenital nature suggest it could affect future generations?,"After experiencing a severe case of CDH with my first child, I'm worried it could happen again in my grandchildren; can you clarify whether CDH is heritable and what 'congenital' means in this context?","I've recently learned that CDH likely caused the death of my first child, and I'm anxious to know if it can be passed down to my grandchildren; what does 'congenital' imply about the condition's inheritance?","As I prepare for the arrival of my grandchildren, I'm concerned about the possibility of CDH being inherited; can you explain whether the condition's congenital nature means it could affect future generations?"
Q13,"sir,my friend is suffering from thalassemia ,in that majorly red blood anemia,white blood anemia and the blood is comming out from mouth when she got cough .her condition is very severe .in her body the red ,white blood cells are abscent .so that blood transfusion is doing for every 16-20days.then in the recent days the blood also comming out from mouth please tell me where can i get the treatment for this disease .we can travel around the world for treatment please reply me as soon as possible. thank you sir.","My friend has thalassemia, which is causing severe anemia, frequent coughing with blood, and a complete lack of red and white blood cells, requiring regular blood transfusions every 16-20 days. Where can I find effective treatment for this condition, and I'm willing to travel anywhere in the world?","I have a friend suffering from thalassemia, which is characterized by severe anemia, coughing up blood, and a complete absence of red and white blood cells, necessitating regular blood transfusions every 16-20 days. Can you recommend a treatment center for this condition, and we're open to traveling globally?","My friend is battling thalassemia, a condition marked by severe anemia, frequent coughing with blood, and a complete deficiency of red and white blood cells, requiring regular blood transfusions every 16-20 days. Where can we find the best treatment for this disease, and we're willing to travel worldwide?","I'm seeking help for my friend who has thalassemia, a severe condition causing anemia, coughing up blood, and a complete lack of red and white blood cells, necessitating regular blood transfusions every 16-20 days. Can you suggest a treatment center for this condition, and we're open to international travel?","My friend is struggling with thalassemia, a condition characterized by severe anemia, coughing up blood, and a complete absence of red and white blood cells, requiring regular blood transfusions every 16-20 days. Where can we find the most effective treatment for this disease, and we're willing to travel globally to get the best care?"
